passiveTaskCode	passiveTitle	passiveDescription	passiveStarRating	passiveCategory1	passiveCategory2	passiveCategory3	passivePlacementReason
Q88Y	Obtain the Apmeken amethyst	Found in a house in the Merchant District of Menaphos which you may only enter on certain days. Refer to the wiki for details.	1	-	-	Beginner	Expected with Menaphos access
D22Y	Obtain the Scabarite crystal	Found in a house in the Merchant District of Menaphos which you may only enter on certain days. Refer to the wiki for details.	1	-	-	Beginner	Expected with Menaphos access
3QQ7	You gotta catch 'em both, sometime!	After completing the Medium task to find the slimy egg, you are allowed to search Menaphos and Sophanem for the rarely spawning corrupted egg. The soulobby Discord may be able to help.	4	-	Medium	Hard	Task req + time to find
9594	Squish a total of 200 Corrupted scarabs	Squish a total of 200 Corrupted scarabs. The Ã¢â‚¬ËœsoulobbyÃ¢â‚¬â„¢ friends chat can assist with finding these.	3	Beginner	Medium	Hard	Limited value in scarabs per day + restrictions
WZ9X	Unlock the 'Sandy' title	The title can be unlocked by completing most content in Menaphos.	5	Elite	-	Master	Many rep sources throughout Master
2X9X	Unlock the Sojobo contract guru from the Waiko reward shop	Requires the mask of Gu, which can be obtained during the 4th successful clue mission from the Tengu in your Player-owned Ports. Make sure to donate 25,000 chimes to him before you send him on his mission.	5	Elite	Master	Legendary	4th+ Tengu clue mission
KM3B	Return Toothless' Tooth	The tooth can be found by checking in on the Water Filtration System at Het's Oasis every now and then.	2	Beginner	Easy	Medium	Time RNG
788Q	Obtain the Seasinger acolyte armour	The acolyte armour requires all four scrolls of the Seasinger outfit to be collected. It can be bought for 5,000 chimes and 2 taijitu from Boni in Waiko.	4	Elite	Master	Legendary	Ports RNG
KZZZ	Obtain the full Superior Seasinger set	The set consists of five pieces of armour, the kiba and the makigai. It requires a total of 390 chi, 75 koi scales and 2 gemstone kaseki.	5	Elite	Master	Legendary	Ports RNG
B22D	Obtain the Gu ronin armour	The ronin armour requires all four scrolls of the Tetsu outfit to be collected. It can be bought for 5,000 chimes and 2 taijitu from Boni in Waiko.	4	Elite	Master	Legendary	Ports RNG
M44Q	Obtain the full Superior Tetsu set	The set consists of five pieces of armour, the katana and the wakizashi. It requires a total of 390 plate, 75 pearls and 2 tengu tsuba.	5	Elite	Master	Legendary	Ports RNG
Z22X	Obtain the Death lotus rogue armour	The rogue armour requires all four scrolls of the Death lotus outfit to be collected. It can be bought for 5,000 chimes and 2 taijitu from Boni in Waiko.	4	Elite	Master	Legendary	Ports RNG
988B	Obtain the full superior Death lotus set	The set consists of five pieces of armour as well as the main- and off-hand dart. It requires a total of 240 lacquer, 50 ascension shards and 2 ancient bones.	5	Elite	Master	Legendary	Ports RNG
4QQE	Obtain a Superior Reefwalker's cape	The cape requires 100 koi scales and a Crafting level of 90 to create.	5	Elite	Master	Legendary	Ports RNG
XVVY	Obtain a Superior Leviathan ring	The ring requires 100 pearls and a Crafting level of 90 to create.	5	Elite	Master	Legendary	Ports RNG
9BMQ	Create all superior skilling scrimshaws	The scrimshaw requires 4 Ancient bones and a Fletching level of 85 to create.	4	-	Elite	Master	Ports RNG
4J53	Create all superior combat scrimshaws	The scrimshaw requires 10 Ancient bones and a Fletching level of 92 to create.	5	-	-	Master	Ports RNG
5QWK	Obtain the Eastern soups recipe	Requires the four Eastern soup recipe scrolls to be discovered.	4	Elite	Master	Legendary	Ports RNG
3QV7	Obtain the Gu hakama	The hakama is obtained as a Gift of Gu chest after giving a donation to The Tengu after completing his final clue voyage.	5	Elite	Master	Legendary	4th+ Tengu clue mission
G7DW	Obtain the Gu uwagi	The uwagi is obtained as a Gift of Gu chest after giving a donation to The Tengu after completing his final clue voyage.	5	Elite	Master	Legendary	4th+ Tengu clue mission
78VQ	Obtain The Way of Gu	The Way of Gu is obtained as a Gift of Gu chest after giving a donation to The Tengu after completing his final clue voyage.	5	Elite	Master	Legendary	4th+ Tengu clue mission
KZ7Z	Obtain the Mask of Gu	The Mask of Gu is obtained as a Gift of Gu chest after giving a donation to The Tengu after completing his final clue voyage.	5	Elite	Master	Legendary	4th+ Tengu clue mission
4JKJ	Enter the resource dungeon on The Faraway Place where Things are Kept	This dungeon can be visited using a Worldbearer ring (1), obtained from The Exile's special player-owned ports voyage.	5	Hard	Master	Legendary	Ports RNG
KM2K	Continuously send out ships from your Player-owned Port for a portnight	Send of at least one voyage a day for 14 consecutive days in your Player-owned Ports. The voyages do not have to be succesful.	4	-	Hard	Elite	Two weeks after unlocking
B2DD	Complete all four final story missions in the Player-owned Ports	Refer to the wiki for more details on how to get trio missions.	5	Elite	-	Master	Ports RNG
X989	Reach the maximum of 4664 port score	The maximum distance travelled is 6,000,000. After this point any distance travelled will no longer contribute to your port score.	5	-	-	Master	Ports RNG
M4BQ	Find a Crested Sillago Snatcher	Find this bird for your Arc Journal on Mondays - on Whale's Maw next to the eastern docks with Hubbub the Whaler.	1	-	-	Beginner	Expected with Arc Access
Z2RX	Find a Shrine Ibis	Find this bird for your Arc Journal on Tuesdays - on Aminishi near the statue that's used by the monks in a cleansing ritual.	1	-	-	Beginner	Expected with Arc Access
987B	Find a Dusky Wigglebill	Find this bird for your Arc Journal on Tuesdays - at dusk in Aminishi's spirit realm, at the west beach. Also appears on Uncharted Isles using the Dusk skybox.	1	-	-	Beginner	Expected with Arc Access
4QVE	Find a Gongdung Peligorn	Find this bird for your Arc Journal on Wednesdays - on Goshima at the south-western beach.	1	-	-	Beginner	Expected with Arc Access
XVEY	Find a Cyclosis Cockatiel	Find this bird for your Arc Journal on Thursdays - on Cyclosis at the south-eastern beach.	4	-	-	Hard	Expected with Arc Access
NXMW	Find a Titchy Tinamou	Find this bird for your Arc Journal on Fridays - on The Islands That Once Were Turtles, and on Uncharted Isles on Tuesdays and Thursdays.	1	-	Beginner	Easy	Requires Supplies
JMD3	Find a Tuai Leit Toucan	Find this bird for your Arc Journal on Saturdays - on Tuai Leit, west of the rumberry bushes.	1	-	-	Beginner	Expected with Arc Access
R8XK	Find a Waiko Warbler	Find this bird for your Arc Journal on Sundays - in the Waiko market place.	1	-	-	Beginner	Expected with Arc Access
YV25	Find a Fluffy Jublet	Find this bird for your Arc Journal on Mondays, Wednesdays, Fridays, Saturdays and Sundays - on Uncharted Isles.	1	-	Beginner	Easy	Requires Supplies
85V6	Find a Cocoa Macaw	Find this bird for your Arc Journal on Mondays, Wednesdays, Fridays, Saturdays and Sundays - on Uncharted Isles.	1	-	Beginner	Easy	Requires Supplies
VVRB	Find a Pumpkin Limpkin	Find this bird for your Arc Journal - while foraging mushroom clusters or berry bushes throughout the Arc.	4	-	Hard	Elite	Arc - Farming requirement
2QV4	Locate Milky Joel	Find a message in a bottle for a map to this castaway - visible every day.	1	-	-	Tutorial	Expected with Arc Access
E2D4	Locate One-Eyed Willy	Find a message in a bottle for a map to this castaway - visible every other day.	1	-	-	Beginner	Expected with Arc Access
6Q78	Locate Manti Claws	Find a message in a bottle for a map to this castaway - visible every 3 days. Also requires 90 Slayer and the Spiritual Enlightenment miniquest. (Requires updating to only needing dusk)	4	-	-	Beginner	Expected with Arc Access
Q8VY	Locate Swabbie Steve	Find a message in a bottle for a map to this castaway - visible every 4 days.	1	-	-	Beginner	Expected with Arc Access
D2QY	Locate Tzhaar-Ga'al Knot	Find a message in a bottle for a map to this castaway - visible every 5 days.	1	-	-	Beginner	Expected with Arc Access
WVD9	Locate The Cannonballs	Find a message in a bottle for a map to this castaway - visible every 6 days. Also requires access to Cyclosis through Player-owned Ports.	4	-	-	Hard	Arc - Cyclosis via Ports
5Q5K	Locate Azalea Oakheart	Find a message in a bottle for a map to this castaway - visible every 7 days.	1	-	-	Beginner	Expected with Arc Access
3Q57	Locate Harley	Find a message in a bottle for a map to this castaway - visible every 8 days. Also requires 90 Divination.	4	-	-	Elite	Arc - Divination requirement
G7QW	Locate Squick	Find a message in a bottle for a map to this castaway - visible every 9 days. Also requires 90 Divination and 50 ancestral energy.	4	-	-	Elite	Arc - Divination requirement
78KQ	Locate Salmon Ella	Find a message in a bottle for a map to this castaway - visible every 10 days.	1	-	-	Beginner	Expected with Arc Access
KZVZ	Discover all Berries of the Arc	Berry bushes are grown on Tuai Leit. Refer to the wiki for a good strategy for cross-pollination. A 50k Farming XP lamp can be claimed from Ani on completion.	3	Medium	Hard	Elite	Requires Supplies + crossbreeding
B2QD	Discover all Mushrooms of the Arc	You will need to forage on Goshima, The Islands That Once Were Turtles (both of which require 90 Farming) and Uncharted Isles (requiring 94 Farming) to discover all mushrooms.	5	Hard	Hard	Elite	Requires Supplies
4BX5	Visit 100 uncharted isles	Enjoy the view.	3	Hard	Hard	Elite	Requires Supplies
DVYZ	Unlock the 'Salty' title	The title can be obtained by completing most content in The Arc.	5	-	-	Master	Main requirements enforced in Master tier
DQZZ	Create the Polypore staff	A Farming level of 80 (can be boosted) is required to create the staff. A Polypore stick (obtainable at 95 Slayer) can be combined together with 3,000 polypore spores and 15,000 fire runes.	3	-	-	Elite	Drop in elite + fire runes
WZXX	Create an Armadyl battlestaff	A Crafting level of 77 is required. It is created by combining a regular battlestaff with an orb of Armadyl, which is created by putting 100 shards of Armadyl together.	3	Hard	Elite	Master	Many glacors + crafting level
W7BE	Complete the entirety of the General section in your Slayer collection log	Good luck on the passive drops!	5	-	-	Master	Enforced eggs in Master
M4QQ	Unlock the Mazcab teleport spell	The spell is unlocked using the Mazcab ability codex, obtained as a rare drop from Beastmaster Durzag or Yakamaru, or the Mazcab teleport codex, bought from the Armoursmith for 2,000 teci.	4	Medium	Hard	Elite	Raids KC
Z2DX	Obtain the Corruption blast ability	The spell is unlocked using the Mazcab ability codex, obtained as a rare drop from Beastmaster Durzag or Yakamaru, or the Corruption Blast ability codex, bought from the Armoursmith for 15,000 teci.	5	Medium	Hard	Elite	Raids KC
98MB	Obtain the Corruption shot ability	The spell is unlocked using the Mazcab ability codex, obtained as a rare drop from Beastmaster Durzag or Yakamaru, or the Corruption Shot ability codex, bought from the Armoursmith for 15,000 teci.	5	Medium	Hard	Elite	Raids KC
4Q5E	Obtain the Onslaught ability	The spell is unlocked using the Mazcab ability codex, obtained as a rare drop from Beastmaster Durzag or Yakamaru, or the Onslaught ability codex, bought from the Armoursmith for 15,000 teci.	5	Medium	Hard	Elite	Raids KC
XVDY	Obtain the Storm shards and Shatter abilities	The spell is unlocked using the Mazcab ability codex, obtained as a rare drop from Beastmaster Durzag or Yakamaru, or the Storm Shards and Shatter ability codex, bought from the Armoursmith for 15,000 teci.	5	Medium	Hard	Elite	Raids KC
NX6W	Obtain an Achto Primeval Mask	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Hard	-	Raids RNG
JMV3	Obtain an Achto Primeval Robe Top	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Elite	-	Raids RNG
R8VK	Obtain a pair of Achto Primeval Robe Legs	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Elite	-	Raids RNG
YVD5	Obtain a pair of Achto Primeval Gloves	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Elite	-	Raids RNG
85G6	Obtain a pair of Achto Primeval Boots	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
VVGB	Obtain an Achto Tempest Cowl	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
2Q54	Obtain an Achto Tempest Body	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
E2Q4	Obtain a pair of Achto Tempest Chaps	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
6QZ8	Obtain a pair of Achto Tempest Gloves	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
Q8JY	Obtain a pair of Achto Tempest Boots	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
D2VY	Obtain an Achto Teralith Helmet	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
WVZ9	Obtain an Achto Teralith Cuirass	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
5QMK	Obtain a pair of Achto Teralith Leggings	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
3QK7	Obtain a pair of Achto Teralith Gauntlets	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
G7VW	Obtain a pair of Achto Teralith Boots	Obtained as a rare drop from Beastmaster Durzag or Yakamaru.	5	-	Master	-	Raids RNG
789Q	Obtain Krar Jnr	Krar Jnr spawns rarely in the Nemi Forest. Once found, interact with him to claim him as your pet.	5	Beginner	Master	Legendary	Nemi Forest searching
KZMZ	Obtain Lil' Tuzzy	Obtained as a very rare drop from Beastmaster Durzag.	5	Elite	Master	Legendary	Raids RNG
B2VD	Obtain Diddyzag	Obtained as a very rare drop from Beastmaster Durzag.	5	Elite	Master	Legendary	Raids RNG
M49Q	Obtain Yakaminu	Obtained as a rare drop from Yakamaru.	5	Master	Legendary	Legendary	Full Raids
Z2XX	Unlock the 'the Daredevil' title	Unlocked upon completion of the 'Hero of the Goebies' Achievement. You must complete a total of ten feats of varying complexity at both Beastmaster Durzag and Yakamaru.	5	-	-	God	Raids RNG
EB6Z	Play some volleyball with the goebies	Goebie volleyball is an Easter egg minigame that can be activated after the Beastmaster Durzag fight. The four gongs that hang from the walls should be restored and rung in the following order: North, North, South, South, West, East, West, East.	5	Easy	-	Medium	One BM kill, then hit gongs
98XB	Imbue an Asylum surgeon's ring	The ring can be imbued by the Armoursmith on Mazcab for 10,000 teci. This increases the damage bonuses of the ring by 2.4 and it retains the same effects.	3	Hard	Elite	Master	Raids KC
4QBE	Imbue a Ring of Fortune	The ring can be imbued by the Armoursmith on Mazcab for 2,500 teci. This increases the damage bonuses of the ring by 2.2 and it retains the same effects.	3	Hard	Elite	Master	Raids KC
XV9Y	Imbue a Luck of the Dwarves	The ring can be imbued by the Armoursmith on Mazcab for 7,500 teci. This increases the damage bonuses of the ring by 2.5 and it retains the same effects.	4	-	Elite	Master	Raids KC
789D	Imbue a Hazelmere's signet ring	The ring can be imbued by the Armoursmith on Mazcab for 10,000 teci. This increases the damage bonuses of the ring by 2.7 and it retains the same effects.	5	-	-	God	Stupid RNG
QVKK	Read all ability codices	Do as the title says. The codices included can be found in the linked wiki-article. Some of them has to be obtained and read several times, e.g. the Praesul ability codex. If both tradeable and untradeable versions exist, the former can be ignored.	5	Legendary	-	God	Stupid RNG
2X5Z	Create all Barrows defenders	The defender can be created by combining a corruption sigil with a new or fully-repaired Guthan's warspear, Dharok's greataxe, Torag's hammer, or Verac's flail. Akrisae's war mace does not work.	3	Medium	Hard	Master	Assembly based on item drops in latest possible tier
EBQ8	Create all Ancient defenders	The defender can be created by combining an ancient emblem with a chaotic splint.	4	Elite	Master	Legendary	Assembly based on item drops in latest possible tier
6Y7J	Create all Kalphite defenders	The defender can be created by combining a perfect chitin with a new or fully-repaired off-hand drygore mace, rapier, or longsword.	5	Elite	Master	Legendary	Assembly based on item drops in latest possible tier
VXG2	Create all GWD1 godswords	The Godsword consists of an Armadyl hilt and a Godsword blade, forged with a Smithing level of 80.	3	Hard	-	Elite	Assembly based on item drops in latest possible tier
B46R	Create a Superior Kyzaj	This requires the completion of the quest the Mighty Fall. Adding a Bandos hilt will turn it into it's Superior version.	3	Medium	Hard	Elite	Assembly based on item drops in latest possible tier
WNDD	Create all spirit shields	The shield is made by attaching a Spectral sigil to a Blessed spirit shield. This requires a Prayer level of 90 and Smithing level of 85.	4	-	-	Master	Assembly based on item drops in latest possible tier
KNV8	Create a set of refined anima core armour of Seren	The Refined helm requires an Anima Core helm, a Crest of Seren, 1 Serenic, 1 Sliskean, 1 Zamorakian, and 1 Zarosian essences.	5	Master	Legendary	God	Requires drops from reapers
BYQ3	Create a set of refined anima core armour of Sliske	The Refined helm requires an Anima Core helm, a Crest of Sliske, 1 Serenic, 1 Sliskean, 1 Zamorakian, and 1 Zarosian essences.	5	Master	Legendary	God	Requires drops from reapers
MRQ5	Create a set of refined anima core armour of Zamorak	The Refined helm requires an Anima Core helm, a Crest of Zamorak, 1 Serenic, 1 Sliskean, 1 Zamorakian, and 1 Zarosian essences.	5	Master	Legendary	God	Requires drops from reapers
ZYD5	Create a set of refined anima core armour of Zaros	The Refined helm requires an Anima Core helm, a Crest of Zaros, 1 Serenic, 1 Sliskean, 1 Zamorakian, and 1 Zarosian essences.	5	Master	Legendary	God	Requires drops from reapers
D2KQ	Unlock the 'the Venerated' title	The title is unlocked upon having a total 20,000 Reputation in the Heart of Gielinor.	4	-	Hard	Elite	Time requirement for reputation
KZM3	Obtain a full set of Dragon Rider equipment	The set is made up of the Dragon Rider helm, body, legs and cape as well as the superior versions of the boots and gloves.	4	-	-	Master	Assembly based on item drops in latest possible tier
WVNZ	Create a Royal Crossbow	The crossbow is created by bringing a Coral crossbow and the four crossbow upgrades to Thurgo. After this it has to be brandished which is done by standing in the super-heat flames of QBD. A Smithing level of 70 is required.	3	-	Hard	Elite	Assembly based on item drops in latest possible tier
7GK6	Create all enhanced boots	A Shadow spike, which can be obtained from Raksha, the Shadow Colossus, can be infused with the laceration boots to upgrade them to t90 melee power boots.	5	Master	-	Legendary	Requires repeat drops of shadow spikes
7KMX	Create an Eldritch crossbow	The crossbow is assembled out of its three pieces, the stock, the limbs, and the mechanism, this requires a Fletching level of 96.	5	Legendary	-	God	Assembly based on item drops in latest possible tier
JXGY	Create a set of Tectonic armour	Creating the set requires 84 Tectonic energy, 6 Stones of binding and a Runecrafting level of 93.	5	-	-	Master	Runecrafting level and low amount of ED drops
RM53	Create a set of Sirenic armour	Creating the set requires 84 Sirenic scales, 6 Algarum thread and a Crafting level of 93.	5	-	-	Master	Crafting level and low amount of ED drops
YR3N	Create a set of Malevolent armour	Creating the set requires 84 Malevolent energy, 6 Reinforcing plates and a Smithing level of 93.	5	-	-	Master	Smithing level and low amount of ED drops
BYV4	Create a set of elite tectonic armour	It is made by using 140 Draconic energy, a tectonic mask, 1 Stone of binding and 2 Praesulic essence (magic). A Runecrafting level of 99 is required to break Virtus items down into Praesulic essence (magic).	5	Master	Legendary	God	Assembly based on item drops in latest possible tier
7GK7	Create a set of elite sirenic armour	It is made by using 140 Ancient scales, a sirenic mask, 1 Algarum thread and 2 praesulic essence (ranged). A Crafting level of 99 is required to break Pernix items down into Praesulic essence (ranged).	5	Master	Legendary	God	Assembly based on item drops in latest possible tier
XJDB	Create a set of trimmed Masterwork armour	It is made by using a Masterwork helm with 2 masterwork trim. To trim a piece of Masterwork equipment, you need Praesulic essences (melee) and Malevolent essences.	5	Master	Legendary	God	Assembly based on item drops in latest possible tier
5MYX	Create a set of custom-fit spiked trimmed Masterwork armour	Once you have the full set of trimmed Masterwork armour, you can talk to Elof to custom-fit it. You can then visually customize this further by bringing Elof a Glorious bar for each piece of the set, making it 5 glorious bars in total.	5	-	Legendary	God	Assembly based on item drops in latest possible tier
3N5N	Create all Rune Dragon boots	These boots can be created by using 2 steadfast scales together with the steadfast boots. They are T90 melee power boots.	4	Hard	-	Master	Assembly based on item drops in latest possible tier
ZRQG	Create the Terrasaur maul	The maul is assemblied from 3 components. Each component can be obtained from a tier 3 dinosaur through big game hunter.	5	-	-	Master	Assembly based on item drops in latest possible tier
VGD9	Obtain Perdita	Perdita is unlocked by speaking to Merethiel after killing Solak a total of 1,000 times. Good luck!	5	Elite	Legendary	God	Assembly based on item drops in latest possible tier
NXWR	Obtain the Mortar Board	Unlocked upon gaining the 50th training point in Boss assistance. Points are awarded if you have more than 10 kills in the boss, and other team members have less than 10.	4	Elite	Master	Legendary	Dependant on learners
JMY8	Unlock the 'the Master' title	Unlocked upon gaining the 250th training point in Boss assistance. Points are awarded if you have more than 10 kills in the boss, and other team members have less than 10.	4	Master	Legendary	God	Dependant on learners
R8W2	Unlock Cornellius	Unlocked upon gaining the 500th training point in Boss assistance. Points are awarded if you have more than 10 kills in the boss, and other team members have less than 10.	5	Master	Legendary	God	Dependant on learners
VG7R	Assemble Laniakea's spear	The four pieces of the spear are dropped by the Rex Matriarchs. The spear can be re-assembled by Laniakea if you bring her the pieces.	4	Hard	Elite	Master	Assembly based on item drops in latest possible tier
QBV8	Create all Rex Matriarch rings	The Stalker's ring is a ring obtained by combining the Heart of the Archer with 10 Archers' rings.	4	Hard	-	Master	Assembly based on item drops in latest possible tier
GZQG	Create all enhanced gloves	The Enhanced Nightmare guantlets are made by combining 1,000 Glacor remnants, 1 Leng Artefact and 1 pair of Nightmare gauntlets.	5	Elite	-	Legendary	Assembly based on item drops in latest possible tier
9X57	Create an Upgraded bone blowpipe	Combining the bone blowpipe with the feather, chitin and fins required both 87 Crafting and Fletching and results in the upgraded bone blowpipe.	5	Master	Legendary	God	Assembly based on item drops in latest possible tier
VM49	Create an Abyssal vine whip	Combine an abyssal whip with a whip vine.	3	-	-	Hard	Assembly based on item drops in latest possible tier
VM24	Create the dragon platebody	The dragon platebody can be created by combining the 3 armour pieces which are dropped by Tormented Demons.	4	-	Master	Legendary	Assembly based on item drops in latest possible tier
7JQ9	Obtain the Masterwork Spear of Annihilation	An Archaeology level 115 and a Smithing level of 99 are required to restore and repair the Spear to it's former glory.	5	Master	Legendary	God	Assembly based on item drops in latest possible tier
9BX9	Create all vital spark codices	The codice can by combining a total of 2,000 Vital sparks.	5	Master	-	Legendary	High vital spark requirement
5R5M	Create a set of elite ranger armour	Combine a Robin Hood hat with a Golden thread.	4	Master	-	Legendary	Clue RNG
