ID	Link	Title	Description	⭐	Tier #	Earliest Plausible	Recommended calc	Recommended	Expected calc	Expected	Dependency	Modifier recommended (dependency)	Modifier expected (dependency)	Bracket (hours)	Modifier recommended (bracket)	Modifier expected (bracket)	IRL-time	Modifier recommended (irl time)	Modifier expected (irl time)
JMD3	View	Find a Tuai Leit Toucan	Find this bird for your Arc Journal on Saturdays - on Tuai Leit, west of the rumberry bushes.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
R8XK	View	Find a Waiko Warbler	Find this bird for your Arc Journal on Sundays - in the Waiko market place.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
Q8X4	View	Find Archie while training Archaeology	Can be found while doing most exp-giving activities in the skill.	5	1	Beginner	2		2.5	Easy	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
E274	View	Find Blanchy	Can be found wandering Menaphos on Saturdays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
VVYB	View	Find Fenekh	Can be found wandering Menaphos on Thursdays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
6QQ8	View	Find Hetepheres	Can be found wandering Menaphos on Sundays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
YVE5	View	Find Lucifurr	Can be found wandering Menaphos on Tuesdays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
2QJ4	View	Find Nodjmet	Can be found wandering Menaphos on Fridays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
85Q6	View	Find Takhuit	Can be found wandering Menaphos on Wednesdays. Owning the Menaphos Journal is required to correctly identify the cat.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
X9QJ	View	Have three active relic powers at the same time	After offering relics to the mysterious monolith, you can activate up to three powers at once, at a cost of chronotes and monolith energy.	2	1	Beginner	2		2.5	Easy	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
5Q5K	View	Locate Azalea Oakheart	Find a message in a bottle for a map to this castaway - visible every 7 days.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
78KQ	View	Locate Salmon Ella	Find a message in a bottle for a map to this castaway - visible every 10 days.	1	1	Beginner	1.75	Beginner	2.25	Easy	None			0-0.25	0	0.25	8-14 days	0.75	1
Q8VY	View	Locate Swabbie Steve	Find a message in a bottle for a map to this castaway - visible every 4 days.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
D2QY	View	Locate Tzhaar-Ga'al Knot	Find a message in a bottle for a map to this castaway - visible every 5 days.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
WD3R	View	Obtain Artemis, the clue scroll pet	You have a chance of obtaining a golden compass while completing clue steps or opening caskets. Interacting with it unlocks the pet.	5	2	Easy	4.25		4.75	Hard	Drop RNG	0.5	0.75	11-20	1.75	2	None	0	0
Q88Y	View	Obtain the Apmeken amethyst	Found in a house in the Merchant District of Menaphos which you may only enter on certain days. Refer to the wiki for details.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
RNWG	View	Obtain the Farmer's outfit and Farmer's hat add-on	The Farmer's outfit can be obtained as a reward from Cabbage Facepunch Bonanza for 800 renown a piece or 4,800 renown for the set and addon. Alternatively, the outfit is also obtainable from Sydekix's Shop of Balance, for 10,000 Crux Eqal favour a piece.	2	1	Beginner	2.2		2.6	Easy	None			6.0-10.0	1.2	1.6	None	0	0
R8YX	View	Obtain the Remototem top	There is a chance of obtaining the Remototem top upon selling your animals to a buyer at the Ranch out of Time.	1	2	Easy	2.7	Easy	3.25	Medium	Drop RNG	0.5	0.75	0.26-0.50	0.2	0.5	None	0	0
D22Y	View	Obtain the Scabarite crystal	Found in a house in the Merchant District of Menaphos which you may only enter on certain days. Refer to the wiki for details.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
K7X7	View	Obtain the Shaman's hand wraps	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
ZREY	View	Obtain the Shaman's headdress	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
GDYB	View	Obtain the Shaman's headdress add-on	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
BD4Q	View	Obtain the Shaman's leggings	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
7V58	View	Obtain the Shaman's moccasins	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
MBJ9	View	Obtain the Shaman's poncho	The Shaman's outfit pieces can be obtained from participating in the Familiarisation D&D.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
EDWW	View	Open a Love Letter from any JMod	A Love Letter may be obtained from a JMod during many events which they host. Good luck.	3	1	Beginner	2		2.75	Easy	Drop RNG	0.5	0.75	0-0.25	0	0.25	1-7 days	0.5	0.75
PZR4	View	Practise your 4-ticking abilities by maintaining full stamina for 60 seconds while mining	4 ticks is more or less the time between each swing.	1	1	Beginner	2		2.5	Easy	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
4EY2	View	Question your energy	Rest for a combined total of 150 minutes.	1	1	Beginner	2		2.4	Easy	None			2.0-4.0	1	1.4	None	0	0
6V8G	View	Question your sanity	Bank stand for 1 hour.	1	1	Beginner	1.8	Beginner	2.2	Easy	None			1.0-2.0	0.8	1.2	None	0	0
2Q88	View	Taste ALL the Stroopwafel flavours	Stroopwafels may be obtained from JMods during many events which they host. You will obtain a random flavour each time and there are seven to collect. Good luck.	3	1	Beginner	2		2.75	Easy	Drop RNG	0.5	0.75	0-0.25	0	0.25	1-7 days	0.5	0.75
ZXJJ	View	Turn many spirit gems into one spirit gem	Consolidate your spirit gem charges by using them on one another. You can combine up to 1,000 charges into a single gem like this!	1	1	Beginner	1.5	Beginner	2	Easy	Drop RNG	0.5	0.75	0-0.25	0	0.25	None	0	0
KZ4Z	View	Unlock access to the bank at the canal on Mazcab	Requires 500 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	1	1	Beginner	1.9	Beginner	2.5	Easy	None			0.51-0.75	0.4	0.75	1-7 days	0.5	0.75
6Z4W	View	Unlock the 'the Adventurer' title	The title is unlocked by allocating a total of 50 quest points into the Hub track at May's Quest Caravan.	1	1	Beginner	2		2.5	Easy	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
R8ZV	View	Unlock the breeding perk for small animal pens	Bought from Granny Potterington at the Player-owned Farm for 1,000 beans.	1	1	Beginner	1.5	Beginner	2	Easy	None			0-0.25	0	0.25	1-7 days	0.5	0.75
78QQ	View	Unlock the Supply Discount at the Mazcab Emergency Merchants	Requires 100 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	1	1	Beginner	1.7	Beginner	2.25	Easy	None			0.26-0.50	0.2	0.5	1-7 days	0.5	0.75
Z2W8	View	Unlock the War's Retreat teleport	Unlocked in War's Wares after having at least 10 boss kills.	1	2	Easy	3		3.5	Medium	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
XE4W	View	Upgrade your penguin spy device with the Scan upgrade	The scan function is unlocked by spying on 10 penguins around the world.	1	1	Beginner	1.95	Beginner	2.5	Easy	None			0.26-0.50	0.2	0.5	8-14 days	0.75	1
KZ3X	View	Obtain the Vampyrism aura	Unlocked in War's Wares at War's Retreat for 5,000 Marks of War.	3	2	Easy	3		3.5	Medium	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
8583	View	Obtain a Spirit gem bag	The bag can be bought for 360 Thaler from Stanley Limelight.	3	1	Beginner	3.45	Medium	4.35	Hard	Group content passive	1.25	1.75	6.0-10.0	1.2	1.6	None	0	0
VR3K	View	Obtain all 10 taunts from the Slayer Bounty & Deathmatch Reward Shop	The taunt scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 200 Deathmatch points each, setting the required total points at 2,000.	4	2	Easy	5.5	Elite	6.25	Master	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
8V77	View	Obtain the Creeping hand pet	The pet can be bought from Zimberfizz or Zanik for 5 Zeals, or from Stanley Limelight for 60 Thaler after obtaining a Crawling hand drop.	2	1	Beginner	3.55	Medium	4.45	Hard	Group content active	1.75	2.25	1.0-2.0	0.8	1.2	None	0	0
6EJG	View	Obtain the Detailed decorative helmet	The detailed decorative helmet can be bought from Lanthus for 40 gold Castle wars tickets. The entire set may also be purchased for 3355 Thaler.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
DX4R	View	Obtain the Detailed decorative platelegs	The detailed decorative platelegs can be bought from Lanthus for 60 gold Castle wars tickets. The entire set may also be purchased for 3355 Thaler.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
W7YE	View	Obtain the Detailed decorative shield	The detailed decorative shield can be bought from Lanthus for 60 gold Castle wars tickets. The entire set may also be purchased for 3355 Thaler.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
5E8B	View	Obtain the Detailed decorative sword	The detailed decorative sword can be bought from Lanthus for 50 gold Castle wars tickets. The entire set may also be purchased for 3355 Thaler.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
ZRK4	View	Obtain the full Fletcher's outfit	The set can be bought from the Stealing Creation reward shop costing 100 Stealing Creation points per piece, setting the total points needed at 500.	3	1	Beginner	3.45	Medium	4.35	Hard	Group content passive	1.25	1.75	4.0-6.0	1.2	1.6	None	0	0
YVBY	View	Obtain the Mega ducklings pet	Events are often run by the "Mega Duck Community" discord.	1	1	Beginner	3.55	Medium	4.7	Hard	Drop RNG, Group content passive	1.75	2.5	1.0-2.0	0.8	1.2	None	0	0
W7WM	View	Obtain the Trickster, Vanguard and Battle-mage body armours	Obtain the Trickster, Vanguard and Battle-mage body Armours. These can all be obtained as an uncommon reward from the Tzhaar Fight Pit Minigame or bought with 700 thaler a piece. You must complete the end of match dialog to be given the chance to recieve a piece.	4	1	Beginner	4.5	Hard	5.25	Elite	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
3ED2	View	Obtain the Trickster, Vanguard and Battle-mage boots	Obtain the Trickster, Vanguard and Battle-mage boots. These can all be obtained as an uncommon reward from the Pest Control Minigame or bought with 700 thaler a piece. You must complete the end of match dialog to be given the chance to recieve a piece.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
5EGJ	View	Obtain the Trickster, Vanguard and Battle-mage gloves	Obtain the Trickster, Vanguard and Battle-mage gloves. These can all be obtained as an uncommon reward from the Fist of Guthix Minigame or bought with 700 thaler a piece. You must complete the end of match dialog to be given the chance to recieve a piece.	4	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
ENG3	View	Obtain the Trickster, Vanguard and Battle-mage helms	Obtain the Trickster, Vanguard and Battle-mage helms. These can all be obtained as an uncommon reward from the Castle Wars Minigame or bought with 700 thaler a piece. You must complete the end of match dialog to be given the chance to recieve a piece.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
6EDX	View	Obtain the Trickster, Vanguard and Battle-mage leg armours	Obtain the Trickster, Vanguard and Battle-mage leg armours. These can all be obtained as an uncommon reward from the Soul Wars Minigame or bought with 700 thaler a piece. You must complete the end of match dialog to be given the chance to recieve a piece.	3	1	Beginner	4.25		4.95	Hard	Group content passive	1.25	1.75	21-50	2	2.2	None	0	0
Q8NR	View	Purchase the 'Commander' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	1	Beginner	3.25	Medium	4.15	Hard	Group content passive	1.25	1.75	2.0-4.0	1	1.4	None	0	0
VV77	View	Purchase the 'Junior Cadet' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	1	Beginner	3.25	Medium	4.15	Hard	Group content passive	1.25	1.75	2.0-4.0	1	1.4	None	0	0
E24W	View	Purchase the 'Serjeant' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	1	Beginner	3.25	Medium	4.15	Hard	Group content passive	1.25	1.75	2.0-4.0	1	1.4	None	0	0
5QDB	View	Purchase the 'War-Chief' title	The title can be bought for 100 Thaler from Stanley Limelight.	2	1	Beginner	3.25	Medium	4.15	Hard	Group content passive	1.25	1.75	2.0-4.0	1	1.4	None	0	0
ZM53	View	Unlock 5 titles from the Slayer Bounty & Deathmatch Reward Shop	The title scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 600 Deathmatch points each, setting the required total points for this task at 3,000.	4	2	Easy	5.5	Elite	6.25	Master	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
9EJY	View	Unlock 5 titles from the Slayer Bounty & Deathmatch Reward Shop	The title scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 600 Deathmatch points each, setting the required total points for this task at 3,000.	4	2	Easy	5.5	Elite	6.25	Master	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
4EZW	View	Unlock 5 titles from the Slayer Bounty & Deathmatch Reward Shop	The title scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 600 Deathmatch points each, setting the required total points for this task at 3,000.	4	2	Easy	5.5	Elite	6.25	Master	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
XK5V	View	Unlock 5 titles from the Slayer Bounty & Deathmatch Reward Shop	The title scrolls can be bought from the Slayer Bounty & Deathmatch Reward Shop for 600 Deathmatch points each, setting the required total points for this task at 3,000.	4	2	Easy	5.5	Elite	6.25	Master	Group content active	1.75	2.25	11-20	1.75	2	None	0	0
Q4RV	View	Unlock the 'the Penance Slayer' title	The title is unlocked by reaching level 5 in each role and defeating both the Penance King and Queen in the Barbarian Assault minigame.	4	2	Easy	6.25	Master	7.25	Grandmaster	Group content active	1.75	2.25	11-20	1.75	2	8-14 days	0.75	1
849M	View	Upgrade your Duellist's cap to the 6th tier	A total of 5,000 duel wins, after having claimed the tier 1 cap, are required to be able to upgrade to the tier 6 cap.	3	1	Beginner	4.75	Hard	5.45	Elite	Group content active	1.75	2.25	21-50	2	2.2	None	0	0
Y4KX	View	Upgrade your Wildstalker helmet to the 6th tier	A total of 5,000 player kills, after having claimed the tier 1 helmet, are required to be able to upgrade to the tier 6 helmet.	3	1	Beginner	4.75	Hard	5.45	Elite	Group content active	1.75	2.25	21-50	2	2.2	None	0	0
JDZ5	View	Buy the Totem of Crystal base from the Herby Werby reward shop	The totem piece can be bought from the Herby Werby reward shop for 200 Spirit points.	2	2	Easy	3.95	Medium	4.75	Hard	Task allowance	1	1.25	0.26-0.50	0.2	0.5	8-14 days	0.75	1
RXJ6	View	Buy the Totem of the Abyss top from the Herby Werby reward shop	The totem piece can be bought from the Herby Werby reward shop for 200 Spirit points.	2	2	Easy	3.95	Medium	4.75	Hard	Task allowance	1	1.25	0.26-0.50	0.2	0.5	8-14 days	0.75	1
M4MY	View	Find Brains while training Farming	Can be found while doing most exp-giving activities in the skill.	5	2	Easy	4.2		4.85	Hard	Task allowance	1	1.25	6.0-10.0	1.2	1.6	None	0	0
K7W5	View	Obtain a full set of Blue Runecrafter robes	The set can be bought from Wizard Elriss for a total of 4,000 Runecrafting guild tokens, or from Stanley Limelight for 135 Thaler.	2	2	Easy	4.75	Hard	5.65	Elite	Group content active	1.75	2.25	2.0-4.0	1	1.4	None	0	0
7VB4	View	Obtain a full set of Green Runecrafter robes	The set can be bought from Wizard Elriss for a total of 4,000 Runecrafting guild tokens, or from Stanley Limelight for 135 Thaler.	2	2	Easy	4.75	Hard	5.65	Elite	Group content active	1.75	2.25	2.0-4.0	1	1.4	None	0	0
GDJN	View	Obtain a full set of Yellow Runecrafter robes	The set can be bought from Wizard Elriss for a total of 4,000 Runecrafting guild tokens, or from Stanley Limelight for 135 Thaler.	2	2	Easy	4.75	Hard	5.65	Elite	Group content active	1.75	2.25	2.0-4.0	1	1.4	None	0	0
NMR3	View	Obtain Sasha	The pet can be bought from the Herby Werby reward shop for 300 Spirit points.	2	2	Easy	4.4	Hard	5.5	Elite	Task allowance	1	1.25	0.51-0.75	0.4	0.75	15-30 days	1	1.5
EB6Z	View	Play some volleyball with the goebies	Goebie volleyball is an Easter egg minigame that can be activated after the Beastmaster Durzag fight. The four gongs that hang from the walls should be restored and rung in the following order: North, North, South, South, West, East, West, East.	5	2	Easy	3.95	Medium	4.75	Hard	Group content active	1.75	2.25	0.26-0.50	0.2	0.5	None	0	0
7WV8	View	Scare someone's Goebie and call Tuz or Krar Jr using your Diddyzag Pet	When a player with a Beastmaster Durzag pet meets a player with Krar/Tuz pets, the Beastmaster pet will sometimes say "HEEEREEEEE BOYYYYYY!" and the other pets will howl. The Beastmaster pet will scare the Goebie pet if there's one nearby...	4	3	Medium	5.25	Elite	6.25	Master	Drop RNG, Group content active	2.25	3	0-0.25	0	0.25	None	0	0
YVQ4	View	Unlock the 'the Explorer' title	Unlocked in Zaida's Treasure Trails Reward shop for 750 Treasure Trail points.	4	3	Medium	5.75	Elite	6.25	Master	Task allowance	1	1.25	11-20	1.75	2	None	0	0
NXGW	View	Unlock the Goebie pet	Requires 2,500 reputation on Mazcab. Up to 90 reputation can be gained per day - 45 from Trinks' tasks and 45 from a complete Nemi Forest run.	3	2	Easy	3.8	Medium	4.7	Hard	None			1.0-2.0	0.8	1.2	15-30 days	1	1.5
Y2XY	View	Unlock the Herb bag upgrade	The upgrade can be unlocked from the Herby Werby reward shop for 200 Spirit points.	2	2	Easy	3.95	Medium	4.75	Hard	Task allowance	1	1.25	0.26-0.50	0.2	0.5	8-14 days	0.75	1
DDNR	View	Collect 250 or more Tears from a single entry in Tears of Guthix	This is most easily achieved using the ornate bowl, wearing a Quest point cape and being under the effects of a Light creature's Enlightenment scroll effect.	4	4	Hard	4		4.25	Hard	None			0-0.25	0	0.25	None	0	0
3Q57	View	Locate Harley	Find a message in a bottle for a map to this castaway - visible every 8 days. Also requires 90 Divination.	4	5	Elite	5.5	Elite	6	Master	None			0-0.25	0	0.25	1-7 days	0.5	0.75
6Q78	View	Locate Manti Claws	Find a message in a bottle for a map to this castaway - visible every 3 days. Also requires 90 Slayer and the Spiritual Enlightenment miniquest.	4	4	Hard	4.5	Hard	5	Elite	None			0-0.25	0	0.25	1-7 days	0.5	0.75
G7QW	View	Locate Squick	Find a message in a bottle for a map to this castaway - visible every 9 days. Also requires 90 Divination and 50 ancestral energy.	4	5	Elite	5.5	Elite	6	Master	None			0-0.25	0	0.25	1-7 days	0.5	0.75
WVD9	View	Locate The Cannonballs	Find a message in a bottle for a map to this castaway - visible every 6 days. Also requires access to Cyclosis through Player-Owned Ports.	4	4	Hard	4.5	Hard	5	Elite	None			0-0.25	0	0.25	1-7 days	0.5	0.75
M4DE	View	Obtain the Master Farmer rank	Requires 225,000 reputation. Reputation is gained when carrying out most activities granting Farming experience.	3	4	Hard	5.15		5.5	Elite	None			0-0.25	0	0.25	31-60 days	1.15	1.25
5REV	View	Purchase the 'The druid/druidess' title	It can be purchased from Sydekix at the Garden of Kharid, costing 50,000 Crux Eqal favour.	4	3	Medium	5.5	Elite	6.25	Master	None			0-0.25	0	0.25	121-182 days	2.5	3
2XEE	View	Purchase the Plant Power (Tier 4) permanent unlock	Unlocks planting 10 seeds at once in a herb patch. It can be purchased from Sydekix at the Garden of Kharid after the previous tiers have been purchased. The total cost of the unlocks is 33,950 Crux Eqal favour. Also requires a Farming level of 110.	3	5	Elite	7.5	Grandmaster	8.25	God	None			0-0.25	0	0.25	121-182 days	2.5	3
QBX5	View	Purchase the Quick-Cense permanent unlock	Reduces the time taken to create incense sticks by 50%. It can be purchased from Sydekix at the Garden of Kharid, costing 35,000 Crux Eqal favour.	3	3	Medium	5.5	Elite	6.25	Master	None			0-0.25	0	0.25	121-182 days	2.5	3
DK2D	View	Complete the group PvM requirements for the Elite tier	28 out of 34 group PvM uniques and 23 out of 25 group PvM achievements from the Elite tier, and all from the Hard tier are required to progress. You may not complete this task or make progress towards any tasks above the Elite tier, including whatever your current active task was, until the requirement has been met. Make a ticket in #gpvm-progress-requests to contact the Taskman Team once you think you're done!		5	Elite	5		5.25	Elite	None			0-0.25	0	0.25	None	0	0
KMNB	View	Complete a grand total of 1,000 clue scrolls	An unlock in the Easy tier allows you to complete clue scrolls at will.	3	5	Elite	6		6.5	Master	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
M6E7	View	Complete a lap of the Anachronia agility course in less than seven minutes	Going counter-clockwise and using Surge and Bladed dive with the Mobile perk strategically, increases your speed significantly.	3	4	Hard	5		5.5	Elite	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
JDYQ	View	Complete a total of 100 construction contracts	Complete a total of 100 contracts given to you by the estate agents. I suggest looking into upgrading your own house after this, it deserves some attention.	4	4	Hard	5		5.5	Elite	Task allowance	1	1.25	0-0.25	0	0.25	None	0	0
QBB5	View	Complete a total of 250 Wilderness Flash Events	Wilderness Flash Events occur every hour somewhere in the Wilderness.	4	3	Medium	5	Elite	6	Master	Task allowance	1	1.25	0-0.25	0	0.25	15-30 days	1	1.5
XV52	View	Complete the Dragon breeding log	Completing the log requires all variants of the species to be bred, shinies included.	5	4	Hard	6.3	Master	7.45	Grandmaster	Drop RNG	0.5	0.75	1.0-2.0	0.8	1.2	15-30 days	1	1.5
98JK	View	Complete the Jadinko breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	5	Elite	6.8	Master	7.7	Grandmaster	None			1.0-2.0	0.8	1.2	15-30 days	1	1.5
4QZ2	View	Complete the Zygomite breeding log	Completing the log requires all variants of the species to be bred, shinies included.	4	4	Hard	5.8	Elite	6.7	Master	None			1.0-2.0	0.8	1.2	15-30 days	1	1.5
KM2K	View	Continuously send out ships from your Player-Owned Ports for a portnight	Send of at least one voyage a day for 14 consecutive days in your Player-Owned Ports. The voyages do not have to be succesful.	4	4	Hard	4.95	Hard	5.5	Elite	None			0.26-0.50	0.2	0.5	8-14 days	0.75	1
DYB9	View	Defeat each of the Barrows brothers dealing the killing blow with their own weapon	They gave you the very tools you now use to destroy them. Have fun!	4	5	Elite	6.7	Master	7.5	Grandmaster	Drop RNG, Task allowance	1.5	2	0.26-0.50	0.2	0.5	None	0	0
B2QD	View	Discover all Mushrooms of the Arc	You will need to forage on Goshima, The Islands That Once Were Turtles (both of which require 90 Farming) and Uncharted Isles (requiring 94 Farming) to discover all mushrooms.	5	4	Hard	5		5.4	Elite	None			2.0-4.0	1	1.4	None	0	0
